Sentence,"bukas - [0: 'búkas', 1:'bukás']",,
"Maulap sa umaga nang ika-13 ng Setyembre ng 2023. Sa aking tablet, binabasa ko ang Kastilang El eterno regreso a casa ni Ursula Le Guin, sa Istarbak dito sa Isla Lulu. Napupuna kong magaling ang isip ni Greg na Pilipino tungkol sa espasyo para sa isang relihiyoso. Pinag-usapan namin sa Istarbak ang mga kinabukasang misyong may tao papuntang planetang Marte. Sabi niyang mga ""pitong buwan"" ang papuntang Marte. Kung may tao, dapat talagang ""malusog sa sikolohiya"" ang dagdag ko. May mga planong magkakolonya ng tao sa Marte. Sang-ayon kami ni Greg na masyado yatang ambisyoso ang Marte para ngayon; sang-ayon kami ni Greg na dapat may kolonya muna sa Luna para masanay ang mga astronawta at mga dalubhasa. Nakita ni Greg ang aking asul na tisyort na may imahen ni Chewbacca sa harapan. Pareho kaming nakasuot nang dyaket na berdeng may pantakip sa ulo. Sang-ayon kaming ang mga prangkisang Star Wars at Star Trek ay talagang sikat pa ngayon. Sa ibang tema, binabasa na ni Greg daw ang binigay ko sa kanyang Koran, yaong kayumangging bilingguwal na Arabe-Ingles. Sang-ayon kaming parang pareho ang tono sa Bibliya. Sa Istarbak, dumalaw yaong muskuladong lalaking mukhang militar na nakakulay-abo. Regular na kostumer siya. May dumalaw ring magkapatid na lalaking binatang may itsurang kayumanggi ang balat. Di ko maunawaan kung anong lengguwahe ang ginagamit nila.",0,,"Cloudy in the morning on September 13th of 2023. On my tablet, I read the Spanish El Eterno regress a casa by Ursula Le Guin, on the island here on Isla Lulu. I notice Greg's Filipino mind is good about space for a religious. We talked about the future missions of the people to the planet Marte. He said he was ""seven months"" to Marte. If anyone, I should really be ""healthy in psychology"". There are plans to colonial with Marte. Greg and I agree that Marte is too ambitious for now; Greg and I agreed that there should be a colony in Luna first to train astronales and experts. Greg saw my blue tissue with Chewbacca's image in front. We were both wearing a green jacket with a head covering. We agree that the Star Wars and Star Trek franchise are really popular today. In other themes, Greg is reading what I have given to his Quran, that brown bilingual Arabic-English. We agree with the same biblical tone. At the Istarbak, the muscular man who looked like a military was brown. He is a regular customer. A brothers also visited a young man with a brown skin. I do not understand what language they are using."
May bukas na lalagyan si Tom sa loob ng sasakyan.,1,,Tom has an open container inside the car.
May bukas pong lalagyan si Tom sa loob ng sasakyan.,1,,Tom has a container in the car.
May dalawa akong iksamen bukas.,0,,I have two exams tomorrow.
May dalawa akong pagsusulit bukas.,0,,I have two exams tomorrow.
May gagawin ka ba bukas nang hapon?,0,,Do you have something to do tomorrow afternoon?
May gagawin ka bukas?,0,,Will you do something tomorrow?
May katagpo ka ba bukas?,0,,Do you meet tomorrow?
May klase ako bukas.,0,,I have a class tomorrow.
May maganda kang kinabukasan.,0,,You have a good future.
May maliwanag kang kinabukasan.,0,,You have a bright future.
May nagbukas ng pinto.,1,,Someone opened the door.
May nakabukas na lalagyan si Tom sa loob ng sasakyan.,0,,Tom had a container in the car.
May nakabukas pong lalagyan si Tom sa loob ng sasakyan.,0,,Tom had a container in the car.
Mayroon ka bang katagpo bukas?,0,,Do you have a meeting tomorrow?
"Medyo maulap na maaraw ngayong ika-3 ng Setyembre ng 2023. Sa bahay sa umaga, ang almusal ko ay mga istrobering binalot sa tsokolateng puti at kayumanggi. Mamaya pa, nasa Istarbak kami ni Greg na Pilipino para maghuntahan. May kape at croissant siya. Binigyan niya ako ng mga mansanas na tsip. May itim na tsaang may yelo ako. Dinala ni Greg ang malaki niyang Bibliya dahil pupunta siya sa Baptistang simbahan mamaya. Bukas, dahil gusto niya, ipakikita ko sa kanya ang mga Bibliya kong Tagalog, isang kulay-lilang malaki at isang maliit na maitim na asul ng Mga Saksi ni Jehova. Ibibigay ko bukas sa kanya ang aking Arabe-Ingles na bilingguwal na Koran dahil interesado siya sa mga relihiyong Abrahamiko. Mamaya rin sa umaga, sa bahay, dumating ang mga Pilipinong kaibigan ng pamilya kong si Nida at si Dindo. May dinala silang mga pagkain. Kasama nila ang maliit na aso nilang si Bella. Kumain ako ng mais. Sa tanghalian namin, Intsik ang pagkaing dala sa bahay dahil kaarawan ng pinsang kong si Eva.",0,,"It was a bit cloudy sunny this September 3rd of 2023. At home in the morning, my breakfast was wrapped in white and brown chocolates. Later, Greg and I were in the Philippines for a place to go. She has coffee and croissant. He gave me apple tsip. I have black tea with ice. Greg brought his big Bible because he would go to the Baptist church later. Tomorrow, because he wants, I will show him my Tagalog Bible, a large large and a little dark blue of Jehovah's Witnesses. I will give him my Arabic-English Bilingual Koran because he is interested in Abrahamic religions. Later in the morning, at home, the Filipino friends of my family Nida and Dindo arrived. They brought food. They are with their little dog Bella. I eat corn. At our lunch, the food was brought to the house because of my cousin Eva's birthday."
Meron ka bang oras bukas?,0,,Do you have time tomorrow?
Minsan hindi ako mapalagay kapag naiisip ko ang kinabukasan.,0,,Sometimes I can't help but think of the future.
Mukhang uulan bukas.,0,,It looks like it's raining tomorrow.
Muling magkikita tayo bukas.,0,,We will meet again tomorrow.
"Nabasa ko na ang siyensiyang piksiyong librong Revolt in 2100 ni Robert Heinlein. Tungkol ito sa Kristiyanong teokrasiya sa kinabukasang Estados Unidos, at pinigil ang progreso sa espasyong teknolohiya. Sa huli, nagrebelde ang tao.",1,,"I have read the science of Robert Heinlein's revolt book Revolt in 2100. It is about Christian theocracy in the opening of the United States, and prevented the progress in technology space. In the end, the man rebelled."
Nagbukas ang dalawang pintuan.,1,,The two doors opened.
Nagbukas ba ang bangko kanina?,1,,Did the bank open earlier?
Nagbukas ba ang bangko ngayong araw?,1,,Did the bank open today?
Nagbukas ng alak si Tom.,1,,Tom opened wine.
Nagbukas si Tom ng isa pang bote ng alak.,1,,Tom opened another bottle of wine.
Nagbukas si Tom ng isang lata ng tuna.,1,,Tom opened a tin of tuna.
"Nagtagpo kami ni Joey B. sa harapang mesa sa tabi ng bintana sa labas ng pizzeria sa Isla Lulu nitong hapon nang ika-23 ng Agosto ng 2023. Mestisong Libanes-Pilipino siya. Kulay-abo ang suot niya. Ang asawa niyang Pilipina ay nasa tahanan nilang inaalagaan ang dalawa nilang anak na lalaki. Buntis ang asawa niya nang babae. Pinanganak at lumaki sa Dubai ang asawa niya, pero mananagalog siya. Si Joey ay lumaki nang ang mga magulang ay nag-uusapan sa Bikolano at Tagalog. Ang komersiyo ng mag-asawa ay pagtulong sa ibang magkomersiyo sa Web. Noong pasadong Marso, nagbakasyon ang pamilya niya sa ilang isla sa Pilipinas. Pinakita niya ang ilang litrato sa ismartpon niya. Mukhang ""Byetnam"" ang sabi ko. Sabi kong nagtagal ako sa Hapon. Nakakabukas ng isip ang naranasan ko. Marami akong biyahe noong mas bata ako ang sabi ko sa kanya: Nalibot ko na ang Tiyera. Halimbawa ko sa kanya ang Ehipto at Maruekos. Nagtren ang grupo mula sa Cairo patimog hanggang Aswan, yaong malapit sa Sudan. Isa pa, sabi kong masyadong sosyal ang tao sa Asyang parang ""insekto"" sila, pero rito ay puwedeng buhay ng ""oso"" ang tao.",1,,"We met Joey B. at the front table next to the window outside the pizzeria on the island Lulu this afternoon on August 23, 2023. He was a Filipino-Filipino. She was wearing gray. His Filipino wife is at home taking care of their two sons. Her wife is pregnant. Her husband was born and grew up in Dubai, but she was shaking. Joey grew up when parents were talking to Bikolano and Tagalog. The couple's commerce is helping other commercials on the web. In March, his family was on vacation on several islands in the Philippines. He showed some pictures on his ismartpon. I said ""Vietnam"". I said I stayed in the afternoon. What I experienced was open. I had a lot of trips when I was younger I told her: I have been around. I for example Egypt and Maruekos. The group came from Cairo South to Aswan, those near Sudan. Also, I say people are too social in Asy as they are ""insects"", but here can be a ""bear"" life."
Nagwowori kami sa iyong kinabukasan.,0,,We are worried about your future.
Naiwan mong nakabukas ang pintuan.,1,,You left the door open.
"Naiwanan ni Tom na nakabukas ang pinto ng ref, kaya ko isinara.",1,,"Tom left the refrigerator open, so I closed it."
Naiwanan pong bukas ang lagusan.,1,,The tunnel is left open.
Naiwanan pong nakabukas ang lagusan.,1,,The tunnel was left open.
Naiwanang bukas ang lagusan.,1,,The tunnel was left open.
Naiwanang nakabukas ang lagusan.,1,,The tunnel was left open.
Nakabukas ang baul.,1,,The trunk is open.
Nakabukas ang bintana.,1,,The window is open.
Nakabukas ang ilaw ni Tom nang magdamag.,1,,Tom's light turned over night.
Nakabukas ang ilaw.,1,,The light was on.
Nakabukas ito.,1,,It turned out.
Nakabukas.,1,,Turned on.
Nakahanda na ba ang lahat para bukas?,0,,Is everything ready for tomorrow?
Nakalimutan ba nila na kaarawan ko bukas?,0,,Did they forget my birthday tomorrow?
Namamalasakit ako tungkol sa kinabukasan ninyo.,0,,I care about your future.
Nandito si Tom bukas.,0,,Tom is here tomorrow.
"Nang huli nang maaraw at malamig na umaga nang ika-30 ng Oktubre ng 2023, nasa pizzeria naman ako. Naroon ang may-aring si Tharsan, yaong may lahing Taga-Sri Lanka pero pinanganak dito sa Hilagang Amerika. Naroon din ang mga Taga-Indiyang tinderong si Sachet at si Bal. Nagkokolang pangdiyeta ako, at may pirasong pestong pizza ako. Pag-uwi ko, nakita ko sa daan muli ang isang guwapong lalaking mukhang Brasilyanong Latinong palaging nakasyorts. Sa ibang tema, mas tama sa aking Singkretista ako. Iba-ibang klaseng espiritwalidad ang impluwensiya sa akin, at siyempreng may siyensiya. Halloween na bukas!",0,,"At the very sunny and cold morning on October 30th of 2023, I was in pizzeria. The owner was Tharsan, who had a Sri Lanka descent but was born here in North America. Sacanters Sachet and Bal were also there. I had a diet, and I had a pizza pest. When I got home, I saw on the road again a handsome man who looked like a Latin bracel. In other themes, I am better than my singkretist. I have a different kind of spirituality, and science. Halloween tomorrow!"
"Nang maulap na hapon nang ika-7 ng Nobyembre ng 2023, lakad ako sa labas nang bahay. Nakita ko sa daan ang nakapulang Taga-Cambodiang nanay ni Kiara, yaong mestisang dalaga. Ang tatay ni Kiara ay itim na Amerikanong militar. May mahal na pusang mukhang leopardo siya. Nasa pizzeria na ako mamaya pa. Naroon ang tinderong Taga-Indiyang si Sachet na Hindu. May kolang pangdiyeta ako roon. Madalas na may mga binata at dalaga roon. Nakakalungkot na ang mga tao sa Anglospera ay nagiging parang yaong mga lokong karakter sa South Park na teleseryeng animasyon. Ganoon ba ang kulturang gustong ikalat sa kalawakan sa kinabukasan? Pagkatapos ko sa pizzeria, dumalaw ako sa tindahan ng niyelong pagkain para bumili ng isang plastikong sako ng mga rolyong tokwang may lamang isda. May matsang din doong baka gusto kong bilhin sa iba namang araw. Sa Shinto ng Hapones, ang mga ""kami"" ay parang mga ""anito"" ng antigong Pilipino.",0,,"In the cloudy afternoon on November 7th of 2023, I walked outside the house. I saw on the road Kiara's cambodian mother, that girl. Kiara's father was a black American military. She has a dear cat that looks like a leopard. I'm in pizzeria later. The Indian salesman Sachet Hindu was there. I have a diet there. There are often young men and girls there. It is sad that people in Anglosphere become like those who are characters in the South Park television animation. Is that how the culture wants to be spread in space in the future? After I went to the pizzeria, I visited the food store to buy a plastics sack of rolongies with only fish. There is also a good thing that I might want to buy on another day. In the Japanese Shinto, the ""we"" are like the ""Anito"" of the Filipino antique."
"Nang medyo mas malamig at maulap na umaga nang ika-9 ng Hunyo ng 2023, lakad ako at naroon sa pizzeria sa Isla Lulu. Naroon ang mga tinderong si Sachet na Taga-Indiya at si Rose na Pilipina. Nag-eempake sila ng maraming pizza para sa eskuwela. Bulong ni Sachet, ""Maagang pera..."" Parang kriptiko siya. Alam kong parang interesado siya sa mga teorya ng Ekonomika. Nag-aral ako sa unibersidad ng Mikroekonomika at Makroekonomika, pero mas maantas ang pinag-uusapan ang kaibahan ng Komunismo at Kapitalismo. Sa tingin ko sa realidad, ang mga implementasyon ng Komunismo ay Awtoritaryanismo, pero puwede rin ang Demokrasya sa implementasyon. Hindi natin masasabi ang epekto ng Artipisyal na Intelihensiya sa kinabukasan. Masasabing talagang Sosyalismo dati ang implementasyon ng Rusya at Tsina, dahil may gamit pang pera. Sabi nga ng iba, ""Estadong Kapitalismo"" talaga. Ang ideal nila ang Komunismo. ""Isang bansa, dalawang sistema"" ang eksperimentasyon ngayon sa Tsina. Sa ibang tema, ngayong ika-9 ang Araw ng Lojban. Kung minsan, masasabi kong itong wika ang paborito ko. Ang numero 9 ang simbolo ng Lojban. At kulay-lila siya. Ang berdeng Esperanto naman ay 16 o 28. May 16 na basikong regla ang gramatika, at may 28 letra sa alpabeto, sa Esperanto.",0,,"With a little colder and cloudy morning on June 9, 2023, I walked and was on pizzeria on Isla Lulu. The salesman Sachet of Indian and Rose was there. They pack a lot of pizza for school. Sachet whispered, ""Early money ..."" She was crying. I know he seems to be interested in economic theories. I studied at the University of Microeconomics and Macroeconomics, but it is more likely to discuss the difference between communism and capitalism. I think in reality, the implementation of communism is authoritarianism, but democracy is also possible. We cannot say the impact of artificial intelligence on the future. The implementation of Russia and China can be said to have been socialism, because of money. Others say, ""state capitalism"" really. Their ideal is communism. ""One country, two systems"" are today's experimentation in China. In other themes, Lojban's day is 9 today. Sometimes, I can say that this language is my favorite. Number 9 is the Lojban symbol. And he's violet. Green Esperanto is 16 or 28. Grammar has 16 basic menstruation, and has 28 letters in the alphabet, in Esperanto."
"Nang mga 13:00 nang ika-30 ng Oktubre ng 2023, malamig pero maaraw sa labas, at naglakad ako papuntang pizzeria. Naroon ang mga Taga-Indiyang tinderong si Sachet at isa pang bago. Nagkokolang pangdiyeta ako habang nagbabasa ng Kastilang librong Crónicas de Majipur ni Robert Silverberg, sa sulok na mesa. May dumalaw na maraming binata at dalaga galing sa hayskul. Lahat sila ay may suot na kulay-abo at itim. May ilang talagang malusog sa kanila. Nagpipizza sila. Mamaya pa, nasa tabing Asyanong pruteriya ako para bumili ng isang kayumangging sako ng anim na puting kabute. Lulutuin ko bukas sa solitaryong selebrasyon ko ng Halloween.",0,,"About 13:00 on October 30th of 2023, it was cold but sunny outside, and I walked to Pizzeria. The Indian salesmans Sachet and another new one were there. I had a diet while reading Robert Silverberg's Spanish book Crónicas de Majipur, at the corner table. Many young men and girls came from high school. They are all wearing gray and black. Some are really healthy with them. They are dating. Later, I was on the veil of the Prometer to buy an brown sack of six white mushrooms. I'll cook tomorrow at my solitary celebration of Halloween."
"Nang mga alas 10 nang maaraw na umaga ng una ng Hulyo ng 2023, lakad ako at naroon sa pizzeria. Nagpirasong pepperoning pizza ako at nagkola. Ang tindera ay si Rose na Pilipina. Nakita kong tumawid sa harapan ng bintana si Steve na mukhang Hapones na nakaahit ang ulo. Ngayon, nakaberdeng kamiseta siya at itim na shorts. Pag-uwi ko, nakita ko sa daan ang tabatsoy na si Mark na nagpapaalala sa akin ng kinabukasang Maitreya Buddha. Maganda ang langit ngayon.",0,,"At about 10 o'clock in the morning of July of 2023, I walked and was in pizzeria. I had a pepperoning pizza and had a party. The salesman is Rose Filipino. I saw Steve crossed in front of the window, looking like Japanese with a headache. Now, he has a shirt and black shorts. When I got home, I saw Tabatoy Mark on the road reminding me of the Buddha's future. The sky is beautiful now."
"Nang una ng Hunyo ng 2023, naglakad ako sa dilim pasado nang alas 2 ng nokturno papuntang pizzeriang bukas hanggang alas 4 ng umaga. Kumakain ako roon ng isang pirasong mantikilyang manok na pizza at umiinom ng Diet Cola. Si Simar na batang Taga-Indiya ang tindero. May nag-oorder na dalawang Koreanong marunong ng Hapones. Ang isa sa kanila ay nakaitim at puti ang suot. At yaong iba ay nakaasul na kamiseta at kulay-abong track pants; parang marami siyang testosterone. Sabi niya, ""Sa tingin namin ay hindi ka isang estranghero."" Kumain sila sa madilim sa labas ng bintana, sa harapan, ng pizzeria. Sa umaga, mga pasado nang alas 7, kumakain ako sa naaarawang balkonahe sa bahay ng dilaw na pakwan. Pasado nang alas 8, lakad muli at nasa tsaahan ako.",0,,"In the first June of 2023, I walked to the dark past 2 o'clock in the pizzeriang tomorrow until 4am. I eat a piece of butchers pizza and drink a diet cola. Simar is the young man from the salesman. There are two Korean wise Japanese people ordering. One of them was black and white. And those who are different shirts and gray track pants; He seems to have a lot of testosterone. He said, ""We think you're not a stranger."" They eat in the dark outside the window, in front, of pizzeria. In the morning, past 7 o'clock, I ate on the balcony in the yellow watermelon house. It was 8 o'clock, walking again and I was in the mood."
Nangako kang gagawin mo ito bukas.,0,,You promised to do this tomorrow.
Nangako kang gagawin mo iyan bukas.,0,,You promised to do that tomorrow.
Nangako kang gagawin mo iyon bukas.,0,,You promised to do that tomorrow.
Nangako kayong gagawin ninyo ito bukas.,0,,You promised to do this tomorrow.
Nangako kayong gagawin ninyo iyan bukas.,0,,You promised to do that tomorrow.
Nangako kayong gagawin ninyo iyon bukas.,0,,You promised to do that tomorrow.
Nangako siyang gagawin niya ito bukas.,0,,He promised he would do it tomorrow.
Nangako siyang gagawin niya iyan bukas.,0,,He promised he would do that tomorrow.
Nangako siyang gagawin niya iyon bukas.,0,,He promised he would do that tomorrow.
"Noong mga dekadang 50 at 60 nang ika-20 dantaon, ang isip tungkol sa kinabukasan ng mundo ay mas optimista kaysa sa ngayon.",0,,"During the 50s and 60s of the 20th century, the mind about the future of the world was more optimist than it is today."
Pa-Tokyo ka ba bukas?,0,,Are you still open tomorrow?
Paano kumakain ng sardinas ang mga delpin kung hindi man lang nila kayang magbukas ng lata?,1,,How do Delpins eat sardines if they can't even open a can?
Paano kumakain ng sardinas ang mga lumba-lumba kung hindi man lang nila kayang magbukas ng lata?,1,,How do sardines eat sardines if they can't even open a can?
"Pagbukas ko ng ref, napansin kong nabulok na ang karne.",1,,"As I opened the refrigerator, I noticed that the meat was rotting."
"Pagbukas ko ng ref, napansin kong nasira na ang karne.",1,,"When I opened the refrigerator, I noticed that the meat had been broken."
"Pagkabukas na pagkabukas niya ng pinto, may naamoy siyang nasusunog.",1,,"When he opened the door, he smelled a burning."
"Pagkabukas ni Tom ng pinto, nakita niya si Mary na nakatayo roon na may dalang six-pack at pizza.",1,,"When Tom opened the door, he saw Mary standing there carrying six-pack and pizza."
Pagplanuhan mo ang kinabukasan mo dahil doon mapupunta ang mga nalalabing oras ng buhay mo.,0,,Plan your future because there will be the rest of your life.
Pakibukas ang iyong mga mata.,1,,Please open your eyes.
Pakibukas mo nga ng pinto?,1,,Will you open the door?
"Pakibukas ng balutan, nga.",1,,"Open the coat, that's it."
Pakibukas ng ilaw!,1,,Open the light!
Pakibukas ng kalan.,1,,Open the stove.
"Pakiusap, tandaan na gisingin ako bukas nang alas syete ng umaga.",0,,"Please, remember that I will wake up tomorrow at 6am."
Palaging bukas ang bar.,1,,The bar is always open.
Palaging bukas ang oportunidad na ito sa akin.,1,,This opportunity is always open to me.
Palaging bukas ang pagkakataong ito sa akin.,1,,This opportunity is always open to me.
Palaging bukas ang posibilidad na ito sa akin.,1,,This possibility is always open to me.
Papuntang parti ka ba bukas?,0,,Are you going to a party tomorrow?
Parang uulan bukas.,0,,It's like it's raining tomorrow.
"Pasok, bukas ang pinto.",1,,"Enter, the door is open."
"Pinag-usapan namin ni Michael na Tsinong ang penomenong umaalis ang mga mayaman sa mahirap na bansa, pero sa kinabukasan, sila'y nabalik kung mas magaling ang panahon.",0,,"Michael and I talked about the Chinese that the rich in the poor were leaving, but in the next day, they were returned when the weather was better."
Pinagalitan niya siya dahil iniwan niyang nakabukas ang pintuan.,1,,He scolded him because he left the door open.
Pindutin ang berdeng buton at magbubukas ang ilaw.,1,,Press the green button and the light will open.
Pista bukas.,0,,Festival tomorrow.
Plano namin na ianunsyo bukas ang mga detalye tungkol sa aming plano.,0,,We plan to announce the details about our plan open.
Posible na pupunta siya rito bukas.,0,,It is possible that he will come here tomorrow.
Pumarini ka at magkita tayo bukas.,0,,Let's go and see you tomorrow.
Pupunta sa aming lungsod ang bandang iyon bukas.,0,,That band will go to our city tomorrow.
Puwede ba akong magbukas ng isang lata?,1,,Can I open a can?
Puwede ba akong magbukas ng lata?,1,,Can I open a can?
Puwede ba kitang makita bukas?,0,,Can I see you tomorrow?
"Sa kinabukasan, baka may bagong ekolohiyang kinakabilangan ng halaman, hayop, tao, ibang buhay, at Artipisyal na Intelihensiya, AI.",0,,"In the future, there may be a new ecology of plants, animals, people, other lives, and artificial intelligence, AI."
"Sa kinabukasan, puwede kayang ilipat ang isip ng tao sa makina? Kung ganoon, maaaring magbiyahe ang isip sa kalawakan.",0,,"In the future, can the human mind move to the machine? If so, the mind can travel to space."
Sa tingin mo may magandang panahon tayo bukas?,0,,Do you think we have a good time tomorrow?
"Sabado bukas, ikalima ng Pebrero, taong 2011.",0,,"Saturday tomorrow, fifth of February, 2011."
"Sabi sa balita, babagyo raw bukas.",0,,"According to the news, it will be open tomorrow."
"Sabi sa mga diyaryo, uulan daw ng niyebe bukas.",0,,"According to the newspapers, it is raining for snow tomorrow."
"Sabi sa radyo, uulan daw bukas.",0,,"According to the radio, it rains tomorrow."
Sasabihin ko sana sa iyo bukas.,0,,I'll tell you tomorrow.
Sasakay ako ng eroplano papuntang Hanoi bukas.,0,,I'll board a plane to Hanoi tomorrow.
Si Judy ay magsasalita tungkol sa Hapon bukas.,0,,Judy will talk about the afternoon tomorrow.
Si Tom ay nagriribyu para sa kanyang eksamen bukas.,0,,Tom is dating for his exam tomorrow.
Simula bukas hindi na ako maninigarilyo.,0,,From tomorrow I will not smoke anymore.
Sinabi ni Tom kay Mary na puwede siya bukas.,0,,Tom tells Mary that he can be tomorrow.
Sinabi ni Tom na hindi aalis si Mary bukas ng umaga.,0,,Tom says Mary will not leave tomorrow morning.
Sino ang magbabantay sa aso 'nyo bukas?,0,,Who will watch your dog tomorrow?
Sino ang magbabantay sa aso mo bukas?,0,,Who will watch over your dog tomorrow?
Sino ang magbabantay sa aso ninyo bukas?,0,,Who will watch over your dog tomorrow?
Siya ba ay pwedeng pumunta sa pulong bukas?,0,,Can he go to the meeting tomorrow?
"Sobrang abala ako, kaya malamang hindi ako makakapunta bukas.",0,,"I was so busy, so I probably won't be able to go tomorrow."
Susulatan ko si Tom bukas.,0,,I'll write Tom tomorrow.
"Tapos na ang Halloween at Día de los Muertos. Ika-3 ng Nobyembre ng 2023 ngayong maulap na umaga. Lakad ako papuntang Istarbak dito sa Isla Lulu. Nasa matangkad na silya ako sa bar, habang umiinom ng gingerbread na abenang chai. Punong-puno nang tao. Tapos, naglakad akong mas malayo sa parkeng madamo at may mga puno. Mamaya pa, mga alas 10 nang umaga, nasa pizzeria ako para kolang pangdiyeta. Sa ibang tema, iniisip kong hindi importanteng wala akong mga anak, dahil sa tingin ko'y ang kinabukasan ay baka magiging posthumano, o kaya pa postbiyolohiko. Sa pinakamagaling na kaso, ang tao'y baka magiging parang mga pusa at mga aso ng mga makina.",0,,"Halloween and Día de los Muertos are over. November 3rd of 2023 this cloudy morning. I walk to the sting here on Isla Lulu. I was in a tall chair at the bar, while drinking Gingerbread Chai. He is full of people. Then, I walked farther away from the park and there were trees. Later, about 10am, I was in pizzeria for a diet. In other themes, I don't think it is important that I have no children, because I think the future may be posthumano, or postbiological. In the best case, people may be like cats and dogs of machines."
Tatanungin ko siya bukas tungkol dito.,0,,I'll ask her tomorrow about it.
Tatawag ako bukas pagkauwi ko.,0,,I'll call tomorrow when I get home.
Tatawagin ko sila bukas pagkabalik ko.,0,,I'll call them tomorrow when I get back.
Tatlong bata ang nagbukas ng pintuan ng gusali.,1,,Three children opened the door of the building.
Tawagan mo ako bukas ng alas nuwebe.,0,,Call me tomorrow at six o'clock.
Tawagan mo ko bukas.,0,,Call me tomorrow.
Tawagan mo siya bukas.,0,,Call her tomorrow.
Tumunog ang kampana at nagbukas ang mga pintuan.,1,,The bell rang and the doors open.
Tumunog ang kampana at nagsibukasan ang mga pintuan.,1,,The bell rang and the doors were open.
Turuan mo akong maging bukas-palad.,1,,Teach me to be generous.
Tutulungan tayo ni Maria bukas.,0,,Mary will help us tomorrow.
Umaasa kaming maganda ang panahon bukas.,0,,We hope the weather is nice tomorrow.
Uulan bukas nang ganitong oras.,0,,It rains tomorrow at this time.
Uulan ng niyebe bukas.,0,,Snowy rains tomorrow.
Uuwi ako bukas.,0,,I'll be home tomorrow.
Uuwi ako sa bahay bukas.,0,,I'll be home tomorrow.
Uuwi si itay bukas.,0,,Dad will be home tomorrow.
Uuwi si tatay bukas.,0,,Dad will be home tomorrow.
Wala rin ako rito bukas.,0,,I'm not here tomorrow either.
