Sentence,"taong - [0:'táong', 1:'taóng']",,
Ngayon pa lang ako nakakita ng taong umiiyak habang tumatawa.,0,,I just saw a person crying while laughing.
Nirerespeto siya ng bawat taong nakakakilala sa kanya.,0,,Everyone who knows him respects him.
Noon ay sampung taong gulang lang siya.,1,,He was only ten years old then.
"Noong huli kitang makita, labintatlong taong gulang ka pa lang.",1,,"When I last saw you, you were only thirteen years old."
Pakikinabangan iyan ng taong-bayan.,0,,That will benefit the townspeople.
Pakikinabangan iyon ng taong-bayan.,0,,That will benefit the people of the town.
Paniwala ko'y tumuloy ang Dantaong Digmaan—nang sapat na matagal. Mas ganap ang sabi: masyadong matagal.,1,,I think the Ancient War has gone on—long enough. More fully said: too long.
"Para sa isang taong may martilyo, ang lahat ng bagay ay mukhang pako.",0,,"To a person with a hammer, everything looks like a nail."
"Para sa isang taong may pamukmok, ang lahat ng bagay ay mukhang pako.",0,,"To a person with a crush, everything looks like a nail."
Parami na nang parami ang mga taong nag-aalaga ng baka.,0,,More and more people are raising cattle.
Parang walang taong nakatira sa kasita.,0,,No one seems to live in the village.
"Pasensya na, hindi ako nagpapasok ng mga taong hindi ko kilala.",0,,"Sorry, I don't admit people I don't know."
Patay iyong taong iyon.,1,,That person is dead.
Pinagtataguan ko ang mga taong inutangan ko.,0,,I hide the people I owe money to.
Pumanaw ang tatay ko noong labintatlong taong gulang ako.,1,,My father passed away when I was thirteen years old.
"Pumanaw si Dmitri Mendeleev noong ikalawa ng Pebrero, taong 1907.",1,,"Dmitri Mendeleev passed away on February 2, 1907."
Pumanaw si Niels Bohr noong ika-18 ng Nobyembre taong 1962.,1,,"Niels Bohr passed away on November 18, 1962."
Pumunta ako sa Australia noong taong 2013.,1,,I went to Australia in the year 2013.
Punong-puno ang liwasan ng mga taong may kasamang bata.,0,,The square was full of people with children.
Punong-puno ang parke ng mga taong may kasamang bata.,0,,The park was full of people with children.
Sa taong 2012 magiging 125 taon na ang Esperanto.,1,,In the year 2012 Esperanto will be 125 years old.
Sa taong ito may sampung elepante ang sirko.,1,,This year the circus has ten elephants.
"Sa tingin ko, hindi si Tom ang taong dapat kinakausap mo.",0,,I don't think Tom is the person you should be talking to.
"Sa tingin ko, magtatanim na lang ako ng mais sa halip ng patatas sa taong ito.",1,,I think I'll just plant corn instead of potatoes this year.
Sa tingin mo ay mukhang bata ang Mama para sa isang taong higit sa 80 taong gulang.,1,,You think Mama looks young for someone over 80 years old.
Saan kami makakahanap ng ipapakain sa nagugutom na mga taong ito?,0,,Where can we find food to feed these hungry people?
Saan kami makakahanap ng pagkain para ipakain sa nagugutom na mga taong ito?,0,,Where can we find food to feed these hungry people?
Saan tayo makakahanap ng ipapakain sa nagugutom na mga taong ito?,0,,Where can we find food to feed these hungry people?
Saan tayo makakahanap ng pagkain para ipakain sa nagugutom na mga taong ito?,0,,Where can we find food to feed these hungry people?
"Sabado bukas, ikalima ng Pebrero, taong 2011.",1,,"Saturday tomorrow, the fifth of February, year 2011."
"Sabi ko kay Greg nitong ika-18 ng Disyembre ng 2022 sa tsaahang ang taong pumalit mula sa ibang relihiyon at naging Hudyo ay ""ger"" ang tawag sa Hebreo.",0,,"I told Greg on December 18th, 2022 at tea that the person who converted from another religion and became a Jew is called ""ger"" in Hebrew."
Salamat sa lahat ng mga taong nagsasalin ng mga pangungusap ko.,0,,Thanks to all the people who translate my sentences.
"Si Dimitri Mendeleev ay ipinanganak noong ika-7 ng Pebrero, taong 1834.",1,,"Dimitri Mendeleev was born on February 7, 1834."
Si Muriel ay 20 taong gulang.,1,,Muriel is 20 years old.
Si Tom ang huling taong gusto kong makita ngayon.,0,,Tom is the last person I want to see right now.
Si Tom ang klase ng taong mahilig makipagtalo para lang makipagtalo.,0,,Tom is the kind of person who likes to argue just for the sake of arguing.
Si Tom ay isa pong labintatlong gulang na taong binata.,1,,Tom is a thirteen year old young man.
Si Tom ay isang labintatlong gulang na taong binata.,0,,Tom is a thirteen year old young man.
Sila ang mga taong dinidiyos.,0,,They are the deified people.
Sinabi ni Tom na siya ay tatlumpung taong gulang.,1,,Tom said he was thirty years old.
Sinimulan ko pong mag-aral ng Pranses noong labintatlong taong gulang ako.,1,,I started learning French when I was thirteen years old.
Sinimulan kong mag-aral ng Pranses noong labintatlong taong gulang ako.,1,,I started learning French when I was thirteen years old.
Sinisipsip ni Tom ang hinlalaki niya hanggang tatlong taong gulang.,1,,Tom sucks his thumb until he is three years old.
Sino ang pinakamatalinong taong kilala mo?,0,,Who is the smartest person you know?
Sino ang taong ito?,0,,Who is this person?
Sinulat niya ang aklat na ito noong siya ay dalawmpung taong gulang.,1,,He wrote this book when he was twenty years old.
Siya ang huling taong inaasahan kong makita sa ganoong klaseng lugar.,0,,He was the last person I expected to see in such a place.
Siya ang pinakahuling taong nagsinungaling.,0,,He was the last person to lie.
Siya ang pinakatamad na taong kilala ko.,0,,He is the laziest person I know.
Siya ang taong hindi nakakaramdam ng galak.,0,,He is the person who does not feel joy.
Siya ay labindalawang taong gulang. Matangkad siya para sa kanyang edad.,1,,He is twelve years old. He is tall for his age.
Siya'y taong maaasahan.,0,,He is a reliable person.
Siyam na taong gulang na ang apo ko.,1,,My grandson is nine years old.
Siyamnapung taong gulang ang lolo ko at napakalakas niya.,1,,My grandfather is ninety years old and he is very strong.
"Sumabog ang Challenger noong ikalabingwalo ng Enero, taong 1986.",1,,"The Challenger exploded on January 18, 1986."
Sumakabilang-buhay ang tatay ko noong labintatlong taong gulang ako.,1,,My father died when I was thirteen years old.
"Sumakabilang-buhay si Dmitri Mendeleev noong ikalawa ng Pebrero, taong 1907.",1,,"Dmitri Mendeleev died on February 2nd, 1907."
Sundan mo ang taong iyon.,0,,Follow that person.
Taon-taong may salusalo sa bahay ng kapatid ko.,1,,Every year there is a party at my brother's house.
"Tatlong taong gulang pa lang siya, pero gayon pa man, magaling siyang magbasa.",1,,"He is only three years old, but still, he can read well."
Tatlong taong nasa puwesto si Tom.,1,,Tom has been in office for three years.
Tatlumpu't tatlong aklat ang nabasa niya sa taong ito.,1,,He read thirty-three books this year.
Tatlumpu't tatlong libro ang nabasa niya sa taong ito.,1,,He read thirty-three books this year.
Tatlumpung taong gulang ka na.,1,,You are thirty years old.
Tatlumpung taong gulang na ako ngayon.,1,,I am thirty years old now.
Tatlumpung taong gulang na kayo.,1,,You are thirty years old.
Tatlumpung taong gulang na siya.,1,,He is thirty years old.
Tinatahulan ng aso ko ang mga taong hindi niya kilala.,0,,My dog ​​criticizes people he doesn't know.
"Tinatamaan nito, hingit sa lahat, ang mga taong mahina ang depensa.",0,,"It hits, above all, people with weak defenses."
Wala akong kilala sa mga taong nasa larawan.,0,,I don't know any of the people in the picture.
Wala akong kilala sa mga taong nasa litrato.,0,,I don't know any of the people in the photo.
Wala akong nakikilala sa mga taong nasa larawan.,0,,I don't recognize any of the people in the picture.
Wala akong nakikilala sa mga taong nasa litrato.,0,,I don't recognize any of the people in the photo.
Wala akong sasabihin sa taong iyan.,0,,I won't say anything to that person.
Wala pang limang taong gulang si Cookie.,1,,Cookie is less than five years old.
Wala pong nabubuhay nang hanggang dalawang daang taong gulang.,1,,No one lives to be two hundred years old anymore.
Walang dudang may mga taong ganito mag-isip.,0,,No doubt there are people who think like this.
Walang dudang may mga taong ganoon mag-isip.,0,,No doubt there are people who think like that.
Walang dudang may mga taong ganyan mag-isip.,0,,No doubt there are people who think like that.
Walang gaanong taong kayang gawin ito.,0,,Not many people can do this.
Walang lumalabas na taong may ganyang pangalan sa listahan ng eskuwela.,0,,No one with that name appears on the school list.
Walang lumalabas na taong may ganyang pangalan sa listahan ng eskuwelahan.,0,,No one with that name appears on the school list.
Walang lumalabas na taong may ganyang pangalan sa listahan ng paaralan.,0,,No person with that name appears on the school list.
Walang lumalabas na taong may ganyang pangalan sa rehistro ng eskuwela.,0,,No one with that name appears in the school register.
Walang lumalabas na taong may ganyang pangalan sa rehistro ng eskuwelahan.,0,,No one with that name appears in the school register.
Walang lumalabas na taong may ganyang pangalan sa rehistro ng paaralan.,0,,No person with that name appears in the school register.
Walang lumalabas na taong may ganyang pangalan sa talaan ng eskuwela.,0,,No one with that name appears in the school records.
Walang lumalabas na taong may ganyang pangalan sa talaan ng eskuwelahan.,0,,No one with that name appears in the school records.
Walang lumalabas na taong may ganyang pangalan sa talaan ng paaralan.,0,,No one with that name appears in the school records.
Walang nabubuhay nang hanggang dalawang daang taong gulang.,1,,No one lives to be two hundred years old.
Walang taong hindi makasalanan.,0,,No one is sinless.
Walang taong hindi nagmamahal sa kanyang pamilya.,0,,There is no one who does not love his family.
Walang taong makakaalam ng lahat.,0,,No one can know everything.
Walong taong gulang ako noong namatay ang aking ama.,1,,I was eight years old when my father died.
Walong taong gulang na siya.,1,,He is eight years old.
Yumao ang tatay ko noong labintatlong taong gulang ako.,1,,My father passed away when I was thirteen years old.
